x,y,u,v,mag
229569.084,9124838.007,-0.00006,-0.00016,0.00017
229076.392,9124744.977,-0.00265,-0.00575,0.00633
228659.016,9125249.527,-0.00007,-0.00015,0.00017
228193.470,9125106.077,-0.00193,-0.00602,0.00632
227672.542,9125346.997,-0.00344,-0.00566,0.00662
227523.906,9125767.853,-0.00006,-0.00012,0.00013
226833.528,9125767.347,-0.00254,-0.00582,0.00635
226618.785,9126174.277,-0.00006,-0.00013,0.00014
225911.244,9126175.490,-0.00270,-0.00598,0.00656
225680.349,9126592.110,-0.00006,-0.00012,0.00014
225038.079,9126764.167,-0.00002,-0.00016,0.00016
224595.096,9126520.890,-0.00055,-0.00598,0.00600
224017.892,9126863.033,-0.00002,-0.00016,0.00016
223623.284,9126584.610,0.00005,-0.00591,0.00591
223081.782,9126654.460,-0.00171,-0.00580,0.00605
222805.625,9126998.067,-0.00001,-0.00014,0.00014
222211.392,9126797.417,-0.00119,-0.00595,0.00607
221854.548,9127101.973,-0.00003,-0.00019,0.00019
221358.143,9126875.187,-0.00083,-0.00602,0.00608
221051.399,9127024.800,-0.00695,-0.00236,0.00734
220877.039,9127316.770,-0.00003,-0.00035,0.00035
220494.494,9127191.637,-0.00283,-0.00948,0.00989
226433.667,9028587.667,-0.00369,0.00073,0.00376
226742.364,9028277.133,0.00689,0.00297,0.00750
226869.013,9027573.650,0.00100,0.00003,0.00100
227413.504,9027443.980,0.00177,0.00451,0.00484
227911.410,9026960.023,0.00613,0.00473,0.00774
227851.735,9026151.913,0.00608,0.00384,0.00719
228544.712,9025739.423,0.00408,0.00735,0.00841
228439.903,9024797.373,0.00299,0.00731,0.00790
229127.154,9024410.343,0.00246,0.00861,0.00896
229020.017,9023306.757,0.00263,0.00875,0.00913
229742.488,9022963.003,0.00251,0.00765,0.00806
229756.745,9021901.540,0.00262,0.00772,0.00815
230529.112,9021600.157,0.00338,0.00519,0.00620
230533.106,9020497.613,0.00372,0.00289,0.00471
231293.843,9020134.127,0.00255,0.00495,0.00557
231371.073,9019012.767,0.00270,0.00310,0.00411
232254.412,9018687.413,0.00159,0.00359,0.00392
232414.756,9017552.483,0.00179,0.00361,0.00403
233318.124,9017267.427,0.00135,0.00312,0.00340
233544.542,9016117.120,0.00207,0.00355,0.00411
234463.136,9015878.913,0.00195,0.00363,0.00412
234758.022,9014734.270,0.00189,0.00349,0.00397
235705.001,9014563.437,0.00182,0.00336,0.00382
236085.356,9013455.867,0.00234,0.00319,0.00395
237065.377,9013353.293,0.00177,0.00277,0.00328
237523.049,9012275.160,0.00179,0.00308,0.00356
238512.971,9012213.753,0.00170,0.00277,0.00325
239022.038,9011145.900,0.00189,0.00309,0.00362
240010.773,9011125.507,0.00196,0.00286,0.00347
240569.245,9010085.500,0.00234,0.00285,0.00369
241568.509,9010125.740,0.00217,0.00265,0.00342
242183.793,9009126.730,0.00275,0.00279,0.00391
243190.903,9009214.820,0.00250,0.00244,0.00349
243851.318,9008238.963,0.00267,0.00247,0.00364
244849.054,9008349.317,0.00250,0.00263,0.00363
245538.956,9007375.657,0.00255,0.00258,0.00363
246521.757,9007500.923,0.00237,0.00303,0.00385
247237.411,9006526.063,0.00224,0.00295,0.00370
248210.510,9006677.693,0.00224,0.00342,0.00409
248956.758,9005723.337,0.00211,0.00322,0.00385
249926.903,9005918.253,0.00193,0.00357,0.00406
250710.889,9004998.830,0.00173,0.00337,0.00379
251679.213,9005230.397,0.00142,0.00378,0.00404
252496.967,9004335.920,0.00100,0.00380,0.00393
253456.869,9004592.303,0.00071,0.00457,0.00462
254304.293,9003719.973,-0.00038,0.00424,0.00426
255257.836,9004027.127,-0.00041,0.00552,0.00553
256135.988,9003227.277,-0.00118,0.00490,0.00505
257089.403,9003625.397,-0.00122,0.00470,0.00485
258005.988,9002919.130,-0.00158,0.00332,0.00368
258959.599,9003382.243,-0.00147,0.00192,0.00242
259905.688,9002730.093,0.00085,0.00433,0.00441
260844.245,9003213.960,0.00129,0.00213,0.00249
261810.039,9002580.767,0.00219,0.00377,0.00436
262729.905,9003073.313,0.00214,0.00329,0.00393
263713.895,9002448.173,0.00183,0.00350,0.00395
264615.841,9002947.400,0.00177,0.00343,0.00386
265618.268,9002327.013,0.00160,0.00375,0.00408
266502.310,9002831.443,0.00155,0.00387,0.00417
267523.443,9002216.493,0.00094,0.00357,0.00369
268388.937,9002734.100,0.00080,0.00435,0.00442
269427.948,9002139.723,0.00015,0.00385,0.00385
270273.159,9002691.107,-0.00011,0.00472,0.00472
271327.150,9002144.820,-0.00062,0.00395,0.00400
272151.987,9002739.863,-0.00115,0.00465,0.00479
273224.700,9002241.397,-0.00173,0.00372,0.00411
274031.609,9002858.557,-0.00272,0.00527,0.00594
275122.682,9002386.007,-0.00403,0.00370,0.00547
275907.505,9003017.480,-0.00616,0.00674,0.00913
277013.625,9002576.000,-0.00961,0.00419,0.01049
277761.282,9003257.407,-0.01251,0.00615,0.01394
278853.531,9002922.223,-0.01459,0.00157,0.01467
279557.512,9003723.510,-0.01581,0.00015,0.01581
280641.626,9003527.410,-0.01844,-0.00391,0.01885
281299.794,9004402.400,-0.02007,-0.00469,0.02061
282380.893,9004273.450,-0.02258,-0.00637,0.02346
283004.241,9005154.537,-0.02020,-0.00726,0.02146
284173.937,9005048.717,-0.02221,-0.01103,0.02480
284731.764,9005955.027,-0.02029,-0.01316,0.02419
285814.923,9006014.353,-0.02505,-0.01333,0.02837
286237.969,9006982.537,-0.02370,-0.01236,0.02673
287310.689,9007013.520,-0.02420,-0.01276,0.02735
287758.387,9007890.787,-0.02346,-0.01645,0.02865
288827.527,9007951.703,-0.02498,-0.01586,0.02960
289245.640,9008905.660,-0.02629,-0.01764,0.03166
290321.213,9009006.110,-0.02704,-0.01637,0.03161
290685.596,9009959.433,-0.02557,-0.01756,0.03101
291739.373,9010122.830,-0.02434,-0.01750,0.02998
292010.349,9011102.700,-0.01613,-0.02091,0.02641
293017.770,9011356.253,-0.01807,-0.02509,0.03092
293199.235,9012348.997,-0.01393,-0.02994,0.03302
294178.946,9012678.657,-0.01523,-0.02086,0.02583
294294.593,9013643.340,-0.01102,-0.02092,0.02364
295267.066,9014024.857,-0.01320,-0.01825,0.02252
295307.285,9014932.803,-0.00617,-0.01687,0.01796
296224.567,9015382.547,-0.00845,-0.02100,0.02264
296131.388,9016263.897,-0.00204,-0.01955,0.01966
296927.807,9016814.780,-0.00541,-0.01616,0.01704
296708.271,9017614.717,0.00131,-0.01430,0.01436
297404.897,9018232.597,-0.00214,-0.01176,0.01195
297119.696,9018872.070,0.00442,-0.00762,0.00881
297444.935,9019489.853,0.00390,-0.00296,0.00489
297996.717,9019731.123,0.00349,-0.00297,0.00458
297988.569,9020363.893,0.00455,-0.00075,0.00461
298536.035,9020535.907,-0.00017,-0.00016,0.00023
298565.965,9020952.140,-0.00438,0.00500,0.00665
298932.000,9021179.333,0.00558,0.00195,0.00591
235902.218,9100207.583,0.00686,-0.00342,0.00767
235659.003,9100468.530,0.01436,-0.00833,0.01660
235751.476,9100826.653,0.01643,-0.01276,0.02081
235799.999,9099898.897,0.00345,0.00191,0.00394
235484.399,9101027.953,0.00847,-0.00167,0.00863
235535.540,9101374.287,0.00993,-0.00558,0.01139
235879.555,9101605.827,0.00210,-0.00629,0.00663
235767.817,9101957.617,0.00073,-0.00008,0.00073
235884.791,9102321.547,0.00065,-0.00034,0.00074
236235.054,9102464.280,-0.00046,-0.00054,0.00072
236176.163,9102995.927,-0.00089,0.00029,0.00093
236490.815,9103219.353,-0.00049,0.00010,0.00050
236402.061,9103742.980,-0.00117,0.00041,0.00124
236762.373,9103954.907,-0.00063,0.00019,0.00066
236698.627,9104481.237,-0.00121,0.00039,0.00127
237058.654,9104728.507,-0.00072,0.00013,0.00073
236941.025,9105302.397,-0.00134,0.00035,0.00138
237292.949,9105589.587,-0.00079,0.00010,0.00079
237151.791,9106157.103,-0.00143,0.00033,0.00147
237502.762,9106475.710,-0.00070,0.00020,0.00073
237348.689,9107031.320,-0.00149,0.00032,0.00152
237703.275,9107376.213,-0.00049,0.00031,0.00058
237530.527,9107919.720,-0.00142,0.00025,0.00145
237875.545,9108288.840,-0.00011,0.00045,0.00046
237650.637,9108821.770,-0.00179,0.00011,0.00179
237946.438,9109210.573,-0.00047,-0.00059,0.00075
237649.404,9109733.280,-0.00129,-0.00008,0.00129
237897.544,9110144.370,-0.00064,-0.00018,0.00067
237565.227,9110657.963,-0.00144,-0.00016,0.00145
237797.250,9111087.707,-0.00061,0.00000,0.00061
237457.918,9111585.390,-0.00141,-0.00018,0.00142
237681.128,9112033.920,-0.00041,0.00021,0.00046
237318.133,9112511.620,-0.00142,-0.00028,0.00144
237523.202,9113000.960,-0.00016,0.00022,0.00027
237093.184,9113440.367,-0.00163,0.00181,0.00243
237176.653,9113904.123,-0.00004,-0.00018,0.00018
236662.177,9114279.110,-0.00134,-0.00067,0.00150
236753.182,9114729.303,-0.00029,-0.00053,0.00060
236278.180,9115102.730,-0.00111,-0.00056,0.00124
236357.618,9115555.637,-0.00050,-0.00031,0.00059
235837.495,9115932.263,-0.00112,-0.00060,0.00127
235905.862,9116397.293,-0.00050,-0.00024,0.00056
235389.218,9116763.907,-0.00108,-0.00058,0.00123
235449.344,9117239.830,-0.00044,-0.00010,0.00045
234925.261,9117588.253,-0.00100,-0.00062,0.00118
234970.208,9118069.363,-0.00026,0.00026,0.00037
234419.114,9118384.110,0.01425,-0.00495,0.01509
234428.881,9118852.467,-0.00005,-0.00053,0.00053
233839.946,9119126.443,-0.00086,-0.00077,0.00116
233814.875,9119586.990,-0.00032,-0.00042,0.00053
233212.005,9119838.960,-0.00089,-0.00082,0.00121
233171.909,9120303.047,-0.00040,-0.00038,0.00055
232576.812,9120543.190,-0.00089,-0.00080,0.00120
232528.056,9121015.677,-0.00040,-0.00031,0.00051
231941.177,9121246.543,-0.00083,-0.00074,0.00111
231883.295,9121729.117,-0.00036,-0.00024,0.00043
231303.064,9121948.953,-0.00074,-0.00066,0.00100
231231.362,9122441.597,-0.00031,-0.00010,0.00033
230647.770,9122635.030,-0.00061,-0.00063,0.00088
230549.523,9123159.967,-0.00021,0.00009,0.00023
229986.959,9123304.970,0.00747,0.00281,0.00798
229792.540,9123786.060,0.00009,-0.00024,0.00025
229192.132,9123773.797,-0.00033,-0.00086,0.00092
228903.896,9124195.793,-0.00016,-0.00013,0.00020
228309.568,9124136.577,-0.00025,-0.00071,0.00076
228016.519,9124542.310,-0.00011,-0.00005,0.00012
227421.664,9124506.830,-0.00045,-0.00085,0.00096
227199.177,9124941.077,0.00010,-0.00039,0.00040
226603.683,9124938.877,-0.00030,-0.00073,0.00079
226386.671,9125344.290,-0.00008,-0.00044,0.00045
225788.448,9125320.317,-0.00041,-0.00079,0.00089
225527.765,9125744.587,-0.00033,-0.00012,0.00035
224941.757,9125625.430,-0.00007,-0.00072,0.00072
224575.163,9125951.760,0.00003,-0.00013,0.00014
223996.858,9125720.227,-0.00002,-0.00067,0.00067
223622.182,9126010.933,0.00004,-0.00020,0.00020
223090.650,9125810.783,-0.00010,-0.00064,0.00064
222777.830,9126145.087,-0.00020,-0.00002,0.00020
222268.884,9125997.930,0.00001,-0.00002,0.00002
221978.603,9126306.653,-0.00074,0.00086,0.00114
221488.271,9126142.523,0.00032,0.00131,0.00134
221224.655,9126406.500,-0.00136,0.00246,0.00282
220810.887,9126248.283,0.00110,0.00482,0.00495
220580.705,9126451.827,-0.00110,0.00476,0.00489
220687.729,9126759.657,-0.00067,0.00117,0.00135
220466.208,9126893.903,-0.00798,0.00758,0.01100
220187.865,9126812.570,0.00690,0.00396,0.00796
227132.910,9028492.383,-0.00018,0.00003,0.00019
227505.068,9028112.713,0.00365,0.00701,0.00790
227882.796,9028317.050,0.00522,-0.00061,0.00526
228314.396,9028083.117,0.00213,0.00266,0.00341
228567.472,9027666.890,0.00635,0.00307,0.00705
228518.263,9027181.750,0.00758,0.00404,0.00859
229214.722,9026926.327,0.01098,0.00500,0.01207
229300.846,9026292.110,0.00777,0.00726,0.01064
229965.349,9025996.840,0.00860,0.00821,0.01189
229896.465,9025057.123,0.00601,0.00889,0.01073
230537.342,9024701.080,0.00542,0.00898,0.01049
230490.503,9023710.547,0.00449,0.00853,0.00964
231172.840,9023375.677,0.00397,0.00754,0.00852
231197.191,9022326.750,0.00345,0.00704,0.00784
231927.737,9022016.350,0.00159,0.00671,0.00690
232020.395,9020926.270,0.00268,0.00653,0.00706
232777.391,9020655.633,0.00193,0.00531,0.00565
232934.178,9019538.137,0.00208,0.00438,0.00485
233726.599,9019308.383,0.00183,0.00472,0.00506
233950.200,9018172.603,0.00142,0.00448,0.00470
234764.460,9017978.320,0.00149,0.00443,0.00467
235050.978,9016834.937,0.00192,0.00478,0.00515
235888.892,9016683.297,0.00190,0.00423,0.00463
236248.029,9015556.440,0.00202,0.00410,0.00457
237116.738,9015457.990,0.00204,0.00385,0.00436
237553.730,9014362.413,0.00219,0.00360,0.00421
238447.286,9014312.470,0.00204,0.00349,0.00405
238948.854,9013241.943,0.00203,0.00337,0.00394
239853.525,9013230.833,0.00204,0.00311,0.00372
240406.377,9012182.250,0.00225,0.00323,0.00393
241320.038,9012213.813,0.00237,0.00288,0.00373
241923.698,9011197.310,0.00274,0.00289,0.00398
242848.199,9011274.800,0.00276,0.00277,0.00391
243500.120,9010291.320,0.00311,0.00274,0.00415
244428.164,9010403.007,0.00306,0.00279,0.00414
245116.683,9009436.860,0.00324,0.00280,0.00428
246038.712,9009568.390,0.00323,0.00313,0.00450
246753.884,9008606.113,0.00319,0.00307,0.00443
247667.817,9008755.920,0.00328,0.00365,0.00491
248408.788,9007802.360,0.00296,0.00345,0.00454
249318.998,9007980.017,0.00307,0.00409,0.00512
250090.865,9007050.267,0.00257,0.00381,0.00459
251000.490,9007261.743,0.00261,0.00442,0.00513
251804.853,9006361.297,0.00202,0.00419,0.00465
252712.970,9006603.247,0.00200,0.00479,0.00519
253547.232,9005728.730,0.00152,0.00494,0.00517
254450.785,9006004.397,0.00157,0.00546,0.00568
255313.965,9005175.123,0.00098,0.00544,0.00552
256218.617,9005512.270,0.00135,0.00527,0.00544
257115.903,9004762.393,0.00080,0.00441,0.00448
258022.979,9005170.770,0.00171,0.00314,0.00357
258950.091,9004496.887,0.00068,0.00194,0.00206
259851.321,9004952.770,0.00114,0.00164,0.00200
260799.387,9004321.993,0.00182,0.00291,0.00344
261687.309,9004796.213,0.00133,0.00299,0.00327
262652.033,9004180.727,0.00153,0.00406,0.00434
263525.106,9004662.953,0.00110,0.00394,0.00410
264504.923,9004054.767,0.00077,0.00427,0.00434
265362.898,9004542.723,0.00084,0.00362,0.00371
266357.857,9003939.787,0.00083,0.00462,0.00469
267200.325,9004436.190,0.00075,0.00447,0.00454
268210.273,9003845.453,0.00055,0.00492,0.00495
269036.366,9004361.787,-0.00001,0.00564,0.00564
270060.241,9003801.817,-0.00069,0.00517,0.00521
270869.247,9004351.320,-0.00130,0.00574,0.00588
271907.002,9003835.653,-0.00185,0.00501,0.00534
272698.896,9004416.693,-0.00267,0.00591,0.00648
273750.790,9003938.063,-0.00294,0.00562,0.00634
274523.155,9004540.313,-0.00389,0.00699,0.00799
275588.797,9004092.280,-0.00397,0.00714,0.00817
276328.636,9004734.000,-0.00452,0.00876,0.00986
277395.000,9004340.607,-0.00494,0.00823,0.00960
278067.454,9004978.583,-0.00466,0.01008,0.01111
279137.717,9004696.670,-0.00447,0.00623,0.00767
279688.479,9005473.560,-0.00403,0.00857,0.00947
280766.442,9005375.390,-0.00355,0.00414,0.00545
281272.388,9006175.527,-0.00193,0.00491,0.00528
282429.087,9006083.623,-0.00173,-0.00008,0.00173
282902.085,9006894.070,-0.00163,0.00071,0.00178
284035.066,9006871.293,-0.00259,-0.00410,0.00485
284456.505,9007712.043,-0.00512,-0.00046,0.00514
285576.249,9007763.960,-0.00458,-0.00276,0.00535
285962.154,9008622.080,-0.00180,-0.00222,0.00285
287071.571,9008717.923,-0.00379,-0.00759,0.00848
287417.141,9009558.163,-0.00714,-0.00244,0.00755
288522.070,9009684.983,-0.00608,-0.00373,0.00714
288822.588,9010521.403,-0.00634,-0.00108,0.00643
289910.541,9010695.403,-0.00415,-0.00487,0.00640
290148.536,9011533.953,0.00186,-0.00713,0.00737
291194.568,9011777.853,0.00277,-0.01379,0.01406
291358.824,9012621.780,0.00399,-0.01293,0.01353
292356.070,9012939.370,0.00027,-0.01757,0.01757
292459.900,9013767.250,0.00477,-0.01197,0.01289
293418.712,9014141.560,0.00473,-0.00974,0.01083
293460.582,9014962.780,0.00927,-0.00916,0.01303
294376.682,9015372.507,0.00757,-0.00861,0.01146
294418.856,9016114.203,0.01141,-0.00789,0.01387
295256.279,9016555.850,0.00877,-0.01019,0.01344
295123.746,9017285.660,0.00941,-0.00481,0.01057
295779.318,9017793.643,0.01071,-0.00738,0.01301
295700.292,9018446.393,0.01353,-0.00353,0.01398
296344.044,9018906.940,0.01122,-0.00391,0.01188
296301.678,9019489.000,0.01336,-0.00014,0.01336
296866.750,9019858.413,0.01445,0.00029,0.01446
296789.905,9020335.333,0.01345,0.00157,0.01354
297098.377,9020625.267,0.01163,0.00271,0.01194
297582.897,9020645.657,0.01293,0.00430,0.01363
297609.031,9021034.337,0.00916,0.00667,0.01133
297831.904,9021193.210,0.01349,0.00239,0.01370
298182.237,9021193.210,0.00733,-0.00084,0.00738
235529.885,9099837.197,0.02644,-0.00046,0.02645
235356.413,9099970.223,0.02811,-0.00540,0.02863
235383.312,9100292.870,0.02630,-0.00870,0.02770
235135.523,9100344.793,0.00232,-0.00456,0.00512
235005.612,9100612.420,0.00821,-0.01575,0.01776
235122.250,9100920.847,0.00119,-0.05674,0.05675
234933.727,9101156.090,0.01564,-0.20653,0.20712
234986.730,9101418.830,-0.01861,-0.03167,0.03673
235226.393,9101529.920,0.01218,-0.04172,0.04346
235164.475,9101865.030,0.00198,-0.00268,0.00333
235361.883,9102061.187,0.00200,-0.00440,0.00483
235263.792,9102473.483,0.00383,0.00124,0.00403
235531.715,9102663.977,0.00329,-0.00022,0.00330
235486.363,9103107.543,0.00240,0.00128,0.00272
235780.548,9103296.760,0.00303,-0.00022,0.00304
235707.710,9103799.213,0.00123,0.00107,0.00163
236014.571,9104022.007,0.00265,-0.00241,0.00358
235931.324,9104531.200,-0.00255,-0.00044,0.00259
236255.067,9104778.503,-0.00345,-0.00379,0.00512
236145.713,9105289.607,-0.00313,-0.00397,0.00505
236471.644,9105566.230,-0.00272,-0.00343,0.00438
236336.579,9106078.280,-0.00341,-0.00410,0.00534
