x,y
219977.333,9122250.99
219532.985,9122622.85
219428.007,9123182.59
218835.649,9123346.17
218641.7,9123797.37
218133.297,9123888.77
217859.877,9124238.53
217773.833,9124783.88
217536.179,9125241.45
234244.72,9030243.36
234735.886,9029834.61
235356.12,9029471.54
236000.146,9029016.06
236770.705,9028589.18
236966.76,9027460.61
238177.741,9027285.43
239293.553,9027012.34
239559.132,9025701.01
240628.637,9025027.62
241427.183,9023832.39
242501.387,9022796.67
243574.851,9021809.45
245021.086,9020804.45
246803.208,9020081.79
247928.632,9018780.92
249434.79,9018870.9
250968.471,9019101.43
252041.665,9017806.47
253251.455,9016669.28
254575.637,9015602.57
256018.157,9014663.79
257768.263,9015281.23
259088.89,9016302.29
260655.987,9015577.23
262300.015,9014961.71
263989.056,9014541
265738.559,9014310.39
267487.364,9014200.49
269238.261,9014194.97
270994.541,9014297.23
272859.219,9014425.86
274668.19,9014981.22
276182.135,9015357.57
277433.118,9016170.86
278986.564,9015480.79
280263.126,9014763.82
281438.36,9015758.31
282481.703,9016610.79
283131.321,9017753.55
284537.912,9017737.32
285830.843,9017982.19
286363.503,9019043.44
287471.183,9019065.27
287911.197,9019863.14
288833.542,9019856.88
289488.289,9020149.29
290030.409,9020545.74
290659.444,9020916.91
291272.919,9021378.73
292024.821,9021795.27
232161.994,9101430.12
232154.159,9100944.64
231990.151,9101833.16
232150.387,9102353.8
231833.633,9102676.02
232004.79,9103258.8
232175.012,9103833.21
231809.403,9104162.74
231785.281,9104668.61
231749.884,9105213.41
232196.03,9105613.59
232368.521,9106220.19
232443.638,9106828.15
232491.913,9107448.28
232524.879,9108081.42
232527.417,9108730.09
232489.966,9109391.06
232403.863,9110058.79
232275.325,9110730.62
232085.557,9111390.06
231823.593,9112037.97
231621.468,9112659.35
231179.132,9113228.25
230843.758,9113923.16
230457.398,9114540.43
230050.832,9115138.18
229616.194,9115717.33
229156.988,9116279.58
228680.35,9116829.17
228191.911,9117369.15
227690.064,9117897.53
227181.384,9118403.97
226621.741,9118869.76
226127.892,9119304.66
225525.935,9119572.82
224910.121,9119916.06
224280.743,9120228.74
223647.041,9120515.91
223009.03,9120780.45
222311.485,9121008.01
221664.465,9121305.79
221082.674,9121562.57
220508.847,9121854.25
219981.717,9121635.91
219498.863,9121978.97
219032.098,9122299.87
218963.546,9122833.36
218382.907,9122988.1
218220.682,9123437.28
217721.287,9123626
217397.948,9123914.2
217434.363,9124422.26
217361.849,9124805.58
234775.876,9030749.91
235317.468,9030461.66
235986.278,9030193.43
236655.042,9029797.62
237458.563,9029444.04
237770.625,9028332.75
238949.831,9028280.44
240052.197,9028057.17
240417.715,9026594.13
241607.257,9026332.14
242020.937,9025132.45
242892.07,9024162.26
244226.702,9023180.32
244997.429,9021936.06
246453.513,9021599.82
247860.248,9021719.17
248550.265,9020283.07
250066.966,9020488.45
251689.836,9020604.15
252452.817,9019291.82
253633.208,9018310.27
254898.467,9017191.68
256267.279,9016180.04
257625.891,9016885.53
258283.396,9018339.56
259994.826,9017549.94
261640.212,9016819.5
263336.096,9016265.22
265084.133,9015917.66
266860.177,9015760.22
268631.88,9015709.53
270405.353,9015759.96
272133.96,9015912.31
273710.425,9016034.63
275393.403,9016685.61
276977.992,9017549.39
278800.158,9017029.89
280261.745,9016448.42
281508.925,9017551.5
282408.461,9018881.24
283873.909,9018903.55
285136.006,9018927.43
285639.666,9020027.08
286838.838,9020019.92
287579.89,9020714.84
288314.32,9020509.82
288870.768,9020733.84
289391.399,9021049.12
290032.801,9021258.25
290608.96,9021626.31
291319.122,9022075.8
231728.627,9101109.23
231574.057,9101540.99
231784.698,9100612.84
231698.107,9102110.25
231346.351,9102418.71
231549.625,9103020.34
231686.219,9103593.75
231349.678,9103906.43
231318.697,9104405.11
231291.826,9104916.78
231166.885,9105377.03
231567.39,9105718.03
231811.028,9106180.05
231898.864,9106744.32
231937.022,9107332.97
231957.551,9107937.36
231963.058,9108546.29
231927.098,9109184.98
231835.019,9109820.75
231709.396,9110462.09
231526.709,9111099.92
231284.003,9111732.26
231020.886,9112422.31
230579.386,9112981.46
230340.99,9113549.11
229971.856,9114128.97
229582.093,9114703.05
229165.498,9115262.6
228725.501,9115807.11
228267.722,9116339.18
227796.639,9116861.13
227312.807,9117370.51
226808.45,9117854.1
226378.341,9118325.1
225771.717,9118730.16
225113.403,9119090.05
224503.675,9119428.87
223895.332,9119734.55
223287.669,9120016.07
222687.246,9120278.36
222129.753,9120426.78
221609.551,9120682.9
221048.247,9120944.5
220511.048,9121303.41
220002.904,9121050.96
219491.025,9121384.92
219004.531,9121748.49
218516.934,9121966.82
218488.29,9122489
217958.244,9122635.44
217799.298,9123118.3
217269.276,9123319.47
216976.857,9123723.45
217004.693,9124203.84
216911.714,9124631.77
235130.947,9031401.31
235792.405,9031154.27
236593.728,9031034.13
237229.224,9030524.57
238020.843,9030402.52
238448.265,9029300.28
239597.977,9029338.04
240693.776,9029196.65
241130.267,9027741.67
242278.421,9027443.12
242853.741,9025850.91
244058.991,9024680.32
245526.797,9024137.19
245799.371,9022829.9
247140.006,9023313.64
248643.648,9023409.45
249299.413,9021932.17
250829.442,9022007.07
252615.96,9021791.62
253644.227,9020240.94
255021.341,9018971.7
256398.803,9017891.47
256702.673,9019293.18
257703.935,9020318.39
259356.778,9019623.82
260981.77,9018788.92
262662.308,9018082.89
264420.543,9017596.68
266227.095,9017362.33
268044.84,9017290.67
269845.23,9017274.55
271678.475,9017407.74
273497.755,9017444.2
275047.808,9018241.04
276629.489,9019016.22
278392.814,9018469.31
280042.016,9018038.13
281079.301,9019196.8
282062.748,9020495.47
283225.452,9019898.37
284481.905,9020107.74
285027.385,9021293.13
286091.841,9020964.58
286889.563,9020999.26
287467.302,9021594.67
288141.516,9021245.74
288672.61,9021479.43
289084.852,9021736.79
289578.291,9021629.7
290021.817,9021919.65
290578.368,9022255.66
231353.546,9100798.31
231262.517,9101192.07
231002.539,9101505.98
231304.652,9101887.75
231383.92,9100319.29
230935.25,9102047.83
230829.081,9102482.98
231145.365,9102822.61
231189.988,9103338.41
230929.228,9103697.97
230887.352,9104133.6
230863.096,9104634.24
230747.345,9105083.7
230549.33,9105477.47
230945.947,9105794.88
231256.118,9106189.07
231386.814,9106710.13
231412.306,9107275.36
231422.542,9107853.89
231403.975,9108440.96
231438.374,9108985.35
231297.43,9109540.42
231184.449,9110149.63
231014.628,9110761.83
230793.311,9111367.19
230530.966,9111964.37
230219.75,9112538.14
229879.774,9113121.83
229535.984,9113687.56
229160.224,9114243.79
228759.755,9114786.72
228337.474,9115315.87
227897.436,9115832.93
227443.623,9116339.86
226974.548,9116837.05
226479.847,9117320.27
225940.012,9117853.53
225320.018,9118252.75
224738.845,9118610.38
224156.294,9118936.74
223569.438,9119237.61
222981.868,9119516.42
222397.211,9119769.81
221806.534,9119988.88
221166.344,9120179.31
220542.696,9120681.92
220001.389,9120464.78
219506.137,9120800.02
219012.116,9121191.29
218529.628,9121425.92
218057.891,9121588.7
218019.097,9122120.53
217544.552,9122234.61
217460.99,9122749.9
217019.697,9122925.63
216663.31,9123365.21
216589.511,9123949.11
216472.953,9124419.93
235525.026,9032062.91
236198.689,9031834.27
236929.06,9032039.08
237539.977,9031456.75
238439.962,9031424.54
238999.223,9030338.17
240132.721,9030456.66
241247.587,9030367.52
241790.649,9028938.14
242982.127,9028770.66
243405.17,9027355.19
243886.685,9026076.77
245141.632,9025577.87
246668.101,9024966.6
248128.091,9024902.67
249552.314,9025057.58
250131.112,9023507.67
251789.11,9023298.17
253490.258,9023173.68
254432.771,9021702.61
255590.773,9020450.68
256488.572,9021669.33
258548.482,9021844
260318.872,9020945.74
262002.346,9020075.72
263757.366,9019372.97
265619.56,9019019.92
267493.674,9018937.23
269364.453,9018931.4
271051.837,9018780.04
272917.595,9019048.76
274784.564,9019779.06
276352.334,9020677.12
278012.851,9020028.35
279599.246,9019569.66
280615.083,9020812.58
281412.017,9022131.53
282709.016,9021902.5
283622.919,9021035.15
284142.945,9022182.88
285321.29,9022520.66
286067.191,9021993.05
286784.618,9021804.79
287479.34,9022378.99
288046.832,9021977.69
288550.726,9022131.8
288982.634,9022272.58
289442.276,9022128.3
289778.9,9022323.2
